Step Size Beam'R X =1.663076,Beam'R X =3.223860,Beam'R X =0.000000,Beam'R X =0.000000	  
2094, 171, 1656, 228   
2104, 173, 1664, 231   
2114, 175, 1673, 234   
2124, 177, 1681, 237   
2134, 179, 1689, 240   
2144, 181, 1697, 243   
2154, 183, 1704, 246   
2163, 185, 1712, 249   
2173, 187, 1720, 252   
2183, 190, 1727, 256   
2192, 192, 1735, 259   
2201, 194, 1743, 262   
2211, 196, 1750, 266   
2220, 199, 1758, 269   
2229, 201, 1765, 272   
2238, 204, 1772, 275   
2247, 206, 1779, 278   
2256, 209, 1786, 281   
2265, 211, 1794, 285   
2273, 214, 1801, 288   
2281, 216, 1809, 292   
2290, 219, 1817, 295   
2298, 221, 1824, 299   
2306, 224, 1832, 302   
2314, 227, 1838, 306   
2322, 229, 1845, 310   
2330, 232, 1851, 313   
2337, 235, 1857, 317   
2345, 238, 1863, 320   
2352, 240, 1869, 324   
2360, 243, 1875, 328   
2367, 246, 1881, 331   
2374, 249, 1887, 335   
2381, 252, 1893, 339   
2388, 255, 1899, 343   
2394, 257, 1905, 347   
2401, 260, 1911, 351   
2408, 263, 1916, 355   
2414, 266, 1922, 359   
2420, 269, 1928, 364   
2426, 272, 1934, 368   
2433, 276, 1939, 372   
2438, 279, 1945, 377   
2444, 282, 1951, 381   
2450, 285, 1956, 386   
2455, 288, 1961, 390   
2461, 291, 1966, 395   
2466, 295, 1971, 400   
2472, 298, 1976, 404   
2477, 301, 1981, 409   
2482, 304, 1985, 414   
2487, 308, 1990, 419   
2491, 311, 1994, 424   
2496, 315, 1999, 429   
2500, 318, 2003, 434   
2505, 322, 2008, 439   
2509, 325, 2012, 445   
2513, 329, 2016, 450   
2517, 332, 2020, 455   
2521, 336, 2024, 461   
2524, 339, 2027, 466   
2528, 343, 2031, 472   
2532, 347, 2034, 477   
2535, 351, 2037, 483   
2538, 355, 2040, 488   
2542, 359, 2043, 493   
2545, 363, 2045, 499   
2548, 367, 2047, 504   
2551, 372, 2049, 509   
2553, 376, 2050, 514   
2556, 381, 2052, 520   
2558, 385, 2054, 525   
2560, 390, 2056, 531   
2563, 394, 2059, 536   
2565, 398, 2062, 542   
2567, 402, 2064, 548   
2568, 407, 2066, 554   
2570, 411, 2068, 560   
2572, 415, 2070, 566   
2573, 420, 2072, 573   
2575, 424, 2075, 579   
2576, 429, 2078, 586   
2577, 433, 2080, 593   
2578, 438, 2082, 600   
2579, 443, 2084, 607   
2579, 447, 2084, 614   
2580, 452, 2085, 622   
2580, 457, 2085, 629   
2581, 462, 2086, 637   
2581, 466, 2087, 644   
2581, 471, 2088, 652   
2581, 476, 2088, 660   
2581, 481, 2089, 667   
2581, 486, 2089, 675   
2581, 491, 2089, 683   
2581, 497, 2088, 690   
2580, 502, 2088, 698   
2579, 507, 2088, 706   
2579, 512, 2087, 713   
2578, 517, 2087, 721   
2577, 523, 2087, 729   
2576, 528, 2086, 737   
2575, 534, 2085, 745   
2574, 539, 2083, 753   
2572, 545, 2082, 761   
2571, 550, 2081, 769   
2569, 556, 2079, 777   
2568, 561, 2078, 785   
2566, 567, 2076, 794   
2564, 572, 2074, 802   
2562, 578, 2073, 811   
2560, 583, 2070, 820   
2558, 589, 2068, 829   
2556, 595, 2066, 837   
2553, 601, 2063, 846   
2551, 607, 2061, 856   
2548, 613, 2058, 865   
2546, 619, 2055, 874   
2543, 625, 2053, 883   
2540, 631, 2050, 893   
2537, 638, 2048, 902   
2534, 644, 2046, 912   
2531, 650, 2043, 921   
2528, 656, 2040, 931   
2525, 662, 2037, 941   
2521, 668, 2032, 951   
2518, 675, 2028, 961   
2514, 681, 2024, 971   
2511, 688, 2020, 981   
2507, 694, 2015, 991   
2503, 701, 2011, 1001   
2499, 707, 2007, 1012   
2495, 714, 2003, 1022   
2490, 720, 1998, 1032   
2486, 727, 1994, 1043   
2482, 734, 1989, 1054   
2477, 740, 1985, 1064   
2472, 747, 1980, 1075   
2468, 754, 1975, 1086   
2463, 761, 1971, 1097   
2458, 767, 1966, 1108   
2453, 774, 1961, 1119   
2448, 781, 1957, 1130   
2443, 788, 1952, 1141   
2438, 795, 1948, 1152   
